fighter_1,fighter_2,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,location
Gauge Young,Maheshate,0,0,112,66,3,0,0,0,win,Gauge Young,Lightweight,U-DEC,3,5:00,"Shanghai, Hebei, China"
Charles Johnson,Lone'er Kavanagh,1,0,44,59,1,1,0,1,win,Charles Johnson,Flyweight,KO/TKO Punch,2,4:35,"Shanghai, Hebei, China"
Rongzhu,Austin Hubbard,0,0,101,75,0,2,0,0,win,Rongzhu,Lightweight,U-DEC,3,5:00,"Shanghai, Hebei, China"
Kyle Daukaus,Michel Pereira,1,0,5,2,0,0,0,0,win,Kyle Daukaus,Middleweight,KO/TKO Elbows,1,0:43,"Shanghai, Hebei, China"
Yizha,Westin Wilson,2,0,13,0,0,0,0,0,win,Yizha,Featherweight,KO/TKO Punches,1,0:37,"Shanghai, Hebei, China"
SuYoung You,Xiao Long,0,0,58,68,0,0,0,0,win,SuYoung You,Bantamweight,U-DEC,3,5:00,"Shanghai, Hebei, China"
Uran Satybaldiev,Diyar Nurgozhay,1,0,2,7,0,1,2,0,win,Uran Satybaldiev,Light Heavyweight,SUB Ezekiel Choke,1,2:45,"Shanghai, Hebei, China"
Khamzat Chimaev,Dricus Du Plessis,0,0,37,13,12,1,0,1,win,Khamzat Chimaev,Middleweight,U-DEC,5,5:00,"Chicago, Illinois, USA"
Lerone Murphy,Aaron Pico,1,0,8,13,0,2,1,0,win,Lerone Murphy,Featherweight,KO/TKO Spinning Back Elbow,1,3:21,"Chicago, Illinois, USA"
Carlos Prates,Geoff Neal,1,0,32,25,0,0,0,0,win,Carlos Prates,Welterweight,KO/TKO Spinning Back Elbow,1,4:59,"Chicago, Illinois, USA"
Michael Page,Jared Cannonier,0,0,29,20,0,2,0,0,win,Michael Page,Middleweight,U-DEC,3,5:00,"Chicago, Illinois, USA"
Tim Elliott,Kai Asakura,0,0,27,21,2,0,2,0,win,Tim Elliott,Flyweight,SUB Guillotine Choke,2,4:39,"Chicago, Illinois, USA"
Baisangur Susurkaev,Eric Nolan,0,0,36,22,2,0,1,0,win,Baisangur Susurkaev,Middleweight,SUB Rear Naked Choke,2,2:01,"Chicago, Illinois, USA"
Michal Oleksiejczuk,Gerald Meerschaert,1,0,23,3,0,0,0,0,win,Michal Oleksiejczuk,Middleweight,KO/TKO Punches,1,3:03,"Chicago, Illinois, USA"
Loopy Godinez,Jessica Andrade,0,0,107,90,1,0,0,0,win,Loopy Godinez,Women's Strawweight,U-DEC,3,5:00,"Chicago, Illinois, USA"
Alexander Hernandez,Chase Hooper,1,0,17,20,0,0,0,0,win,Alexander Hernandez,Lightweight,KO/TKO Punch,1,4:58,"Chicago, Illinois, USA"
Drakkar Klose,Edson Barboza,0,0,53,71,0,0,0,0,win,Drakkar Klose,Lightweight,U-DEC,3,5:00,"Chicago, Illinois, USA"
Karine Silva,Dione Barbosa,0,0,26,31,1,3,2,1,win,Karine Silva,Women's Flyweight,U-DEC,3,5:00,"Chicago, Illinois, USA"
Joseph Morales,Alibi Idiris,0,0,29,28,2,0,2,0,win,Joseph Morales,Flyweight,SUB Triangle Choke,2,3:04,"Chicago, Illinois, USA"
Anthony Hernandez,Roman Dolidze,0,0,91,36,9,0,1,0,win,Anthony Hernandez,Middleweight,SUB Rear Naked Choke,4,2:45,"Las Vegas, Nevada, USA"
Steve Erceg,Ode Osbourne,0,0,20,35,3,1,1,0,win,Steve Erceg,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Iasmin Lucindo,Angela Hill,0,0,72,64,3,0,0,1,win,Iasmin Lucindo,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Andre Fili,Christian Rodriguez,0,0,64,83,3,1,0,0,win,Andre Fili,Featherweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA"
Jean Matsumoto,Miles Johns,0,0,95,83,0,5,2,0,win,Jean Matsumoto,Bantamweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA"
Christian Leroy Duncan,Eryk Anders,1,0,24,7,0,1,0,0,win,Christian Leroy Duncan,Middleweight,KO/TKO Punches,1,3:53,"Las Vegas, Nevada, USA"
Julius Walker,Rafael Cerquiera,1,0,44,19,6,0,0,0,win,Julius Walker,Light Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Elijah Smith,Toshiomi Kazama,0,0,37,0,0,1,0,1,win,Elijah Smith,Bantamweight,KO/TKO Slam,1,4:10,"Las Vegas, Nevada, USA"
Joselyne Edwards,Priscila Cachoeira,1,0,26,18,0,0,0,0,win,Joselyne Edwards,Women's Bantamweight,KO/TKO Punch,1,2:24,"Las Vegas, Nevada, USA"
Uros Medic,Gilbert Urbina,1,1,5,5,0,0,0,0,win,Uros Medic,Welterweight,KO/TKO Punch,1,1:03,"Las Vegas, Nevada, USA"
