fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,title_fight
Uros Medic,Muslim Salikhov,2025-11-08,"Las Vegas, Nevada, USA",Kerry Hatley,1,0,8,2,0,0,0,0,win,Uros Medic,Welterweight,KO/TKO Punch,1,00:01:03,False
Chris Padilla,Ismael Bonfim,2025-11-08,"Las Vegas, Nevada, USA",Chris Tognoni,0,0,64,42,0,1,0,0,win,Chris Padilla,Lightweight,KO/TKO Punches,2,00:04:30,False
Christian Leroy Duncan,Marco Tulio,2025-11-08,"Las Vegas, Nevada, USA",Mark Smith,1,0,23,27,1,2,0,0,win,Christian Leroy Duncan,Middleweight,KO/TKO Punch,2,00:03:20,False
Jamall Emmers,Hyder Amil,2025-11-08,"Las Vegas, Nevada, USA",Kerry Hatley,0,0,50,47,7,0,1,0,win,Jamall Emmers,Featherweight,U-DEC,3,00:05:00,False
Raoni Barcelos,Ricky Simon,2025-11-08,"Las Vegas, Nevada, USA",Keith Peterson,0,0,82,67,1,0,0,0,win,Raoni Barcelos,Bantamweight,U-DEC,3,00:05:00,False
Jacqueline Cavalcanti,Mayra Bueno Silva,2025-11-08,"Las Vegas, Nevada, USA",Chris Tognoni,0,0,80,39,0,0,0,0,win,Jacqueline Cavalcanti,Women's Bantamweight,U-DEC,3,00:05:00,False
Josh Hokit,Max Gimenis,2025-11-08,"Las Vegas, Nevada, USA",Mark Smith,2,0,9,3,0,0,0,0,win,Josh Hokit,Heavyweight,KO/TKO Punches,1,00:00:56,False
Denise Gomes,Tecia Pennington,2025-11-08,"Las Vegas, Nevada, USA",Keith Peterson,0,0,53,58,3,1,0,0,win,Denise Gomes,Women's Strawweight,U-DEC,3,00:05:00,False
Daniel Marcos,Miles Johns,2025-11-08,"Las Vegas, Nevada, USA",Kerry Hatley,0,0,27,28,3,0,1,0,win,Daniel Marcos,Bantamweight,SUB Rear Naked Choke,2,00:04:23,False
Zach Reese,Jackson McVey,2025-11-08,"Las Vegas, Nevada, USA",Chris Tognoni,0,0,32,56,3,0,1,0,win,Zach Reese,Catch Weight,SUB Rear Naked Choke,2,00:01:38,False
Steve Garcia,David Onama,2025-11-01,"Las Vegas, Nevada, USA",Herb Dean,1,0,33,2,0,0,0,0,win,Steve Garcia,Featherweight,KO/TKO Punches,1,00:03:34,False
Waldo Cortes Acosta,Ante Delija,2025-11-01,"Las Vegas, Nevada, USA",Mark Smith,1,0,12,16,0,0,0,0,win,Waldo Cortes Acosta,Heavyweight,KO/TKO Punch,1,00:03:59,False
Jeremiah Wells,Themba Gorimbo,2025-11-01,"Las Vegas, Nevada, USA",Chris Tognoni,0,0,32,18,3,6,3,0,win,Jeremiah Wells,Welterweight,U-DEC,3,00:05:00,False
Yadier del Valle,Isaac Dulgarian,2025-11-01,"Las Vegas, Nevada, USA",Eric McMahon,0,0,1,0,0,0,3,0,win,Yadier del Valle,Featherweight,SUB Rear Naked Choke,1,00:03:41,False
Charles Radtke,Daniel Frunza,2025-11-01,"Las Vegas, Nevada, USA",Herb Dean,0,0,31,6,3,0,2,0,win,Charles Radtke,Welterweight,SUB Rear Naked Choke,3,00:04:29,False
Allan Nascimento,Cody Durden,2025-11-01,"Las Vegas, Nevada, USA",Mark Smith,0,0,52,57,0,1,1,0,win,Allan Nascimento,Catch Weight,SUB Anaconda Choke,2,00:03:13,False
Billy Elekana,Kevin Christian,2025-11-01,"Las Vegas, Nevada, USA",Chris Tognoni,1,0,17,14,0,0,1,0,win,Billy Elekana,Light Heavyweight,SUB Rear Naked Choke,1,00:03:33,False
Timmy Cuamba,ChangHo Lee,2025-11-01,"Las Vegas, Nevada, USA",Eric McMahon,0,0,23,15,2,3,0,0,win,Timmy Cuamba,Bantamweight,U-DEC,3,00:05:00,False
